1000,-nan,-nan,-nan
988924,0.0615459,0.455901,0.465953
1.00192e+06,0.335075,0.279515,0.36997
1.01492e+06,0.381985,0.317115,0.285688
1.02792e+06,0.694111,0.0893379,0.201512
1.04092e+06,0.67228,0.0869225,0.225933
1.05392e+06,0.622112,0.148964,0.215014
1.06692e+06,0.612712,0.146498,0.227298
1.07992e+06,0.501177,0.135042,0.350942
1.09292e+06,0.462311,0.218454,0.306354
1.10592e+06,0.0745384,0.438812,0.473926
1.11891e+06,0.547779,0.11315,0.327262
1.13191e+06,0.495317,0.274167,0.219085
1.14491e+06,0.47503,0.145147,0.368741
1.15791e+06,0.618097,0.14087,0.230122
1.17091e+06,0.654686,0.13238,0.20213
1.18391e+06,0.489705,0.158729,0.341183
1.19691e+06,0.509457,0.142171,0.338593
1.20991e+06,0.573922,0.233005,0.183679
1.22291e+06,0.154512,0.52161,0.314784
1.2359e+06,0.607851,0.116498,0.266669
1.2489e+06,0.569788,0.222199,0.199455
1.2619e+06,0.500339,0.129542,0.361764
1.2749e+06,0.311141,0.441219,0.239285
1.2879e+06,0.233615,0.329254,0.429434
1.3009e+06,0.379144,0.288308,0.325022
1.3139e+06,0.416549,0.176513,0.399673
1.3269e+06,0.0891166,0.57612,0.327672
1.3399e+06,0.644696,0.180518,0.167929
1.3529e+06,0.164023,0.530058,0.299341
1.3659e+06,0.431475,0.18925,0.372924
1.37889e+06,0.146348,0.415315,0.432101
1.39189e+06,0.328012,0.239766,0.426108
1.40489e+06,0.511111,0.11585,0.367256
1.41789e+06,0.488602,0.231595,0.274171
1.43089e+06,0.525402,0.12465,0.344405
1.44389e+06,0.215066,0.420624,0.359051
1.45689e+06,0.432751,0.161204,0.400904
1.46989e+06,0.290801,0.409389,0.294898
1.48289e+06,0.440928,0.337066,0.217213
1.49588e+06,0.201731,0.40503,0.388638
1.50888e+06,0.20817,0.498925,0.288406
1.52188e+06,0.177736,0.327246,0.490663
1.53488e+06,0.348538,0.328931,0.31834
1.54788e+06,0.129084,0.420511,0.44616
1.56088e+06,0.0560182,0.411749,0.528241
1.57388e+06,0.302573,0.270502,0.423099
1.58688e+06,0.639483,0.206753,0.149893
1.59988e+06,0.24551,0.381781,0.369034
1.61288e+06,0.342628,0.249197,0.404691
1.62588e+06,0.169996,0.521384,0.305142
1.63887e+06,0.48305,0.263688,0.249912
1.65187e+06,0.527067,0.130098,0.339535
1.66487e+06,0.262915,0.26946,0.464515
1.67787e+06,0.636692,0.202553,0.157637
1.69087e+06,0.384699,0.241194,0.371107
1.70387e+06,0.50424,0.303745,0.189094
1.71687e+06,0.293485,0.449022,0.254672
1.72987e+06,0.393556,0.228799,0.374927
1.74287e+06,0.27465,0.45941,0.263239
1.75586e+06,0.369742,0.346089,0.281616
1.76886e+06,0.502564,0.281269,0.213625
1.78186e+06,0.299465,0.334892,0.363223
1.79486e+06,0.490533,0.312451,0.194641
1.80786e+06,0.23102,0.43497,0.331697
1.82086e+06,0.353773,0.180288,0.463689
1.83386e+06,0.264858,0.443836,0.289156
1.84686e+06,0.373753,0.366785,0.257301
1.85986e+06,0.394754,0.362852,0.240304
1.87286e+06,0.411021,0.351683,0.23527
1.88586e+06,0.144733,0.342069,0.511202
1.89885e+06,0.25426,0.23826,0.505574
1.91185e+06,0.364527,0.392739,0.240898
1.92485e+06,0.391049,0.328191,0.278938
1.93785e+06,0.19799,0.272972,0.52725
1.95085e+06,0.0953925,0.37778,0.525051
1.96385e+06,0.456985,0.322664,0.218677
1.97685e+06,0.268889,0.450205,0.279239
1.98985e+06,0.192288,0.411157,0.394952
2.00285e+06,0.300367,0.215903,0.482157
2.01584e+06,0.295224,0.402982,0.300259
2.02884e+06,0.463865,0.298092,0.23651
2.04184e+06,0.40077,0.361925,0.23583
2.05484e+06,0.0367939,0.403395,0.558345
2.06784e+06,0.470741,0.198031,0.329809
2.08084e+06,0.470832,0.23264,0.295166
2.09384e+06,0.440922,0.248967,0.308775
2.10684e+06,0.124648,0.422268,0.451798
2.11984e+06,0.425374,0.215231,0.358112
2.13284e+06,0.495023,0.234886,0.268836
2.14584e+06,0.41544,0.153966,0.429374
2.15883e+06,0.216911,0.35209,0.429844
2.17183e+06,0.334607,0.424555,0.239701
2.18483e+06,0.330466,0.423524,0.244894
2.19783e+06,0.293797,0.449331,0.255779
2.21083e+06,0.118603,0.429883,0.450435
2.22383e+06,0.452176,0.143516,0.403238
2.23683e+06,0.270571,0.35582,0.372585
2.24983e+06,0.311479,0.222298,0.465217
2.26283e+06,0.195568,0.395413,0.408037
2.27582e+06,0.210429,0.463529,0.325062
2.28882e+06,0.285072,0.225707,0.488286
2.30182e+06,0.339309,0.407361,0.25242
2.31482e+06,0.488143,0.12205,0.388907
2.32782e+06,0.292251,0.239453,0.467406
2.34082e+06,0.520104,0.146486,0.332543
2.35382e+06,0.315528,0.262217,0.421398
2.36682e+06,0.268482,0.317611,0.413059
2.37982e+06,0.187024,0.468837,0.343324
2.39282e+06,0.284483,0.452081,0.26265
2.40582e+06,0.398863,0.233645,0.366714
2.41881e+06,0.569777,0.189439,0.240014
2.43181e+06,0.288106,0.430396,0.28076
2.44481e+06,0.268681,0.26538,0.465229
2.45781e+06,0.319129,0.290603,0.389553
2.47081e+06,0.359576,0.230952,0.408782
2.48381e+06,0.424896,0.242359,0.332069
2.49681e+06,0.395787,0.310032,0.293505
2.50981e+06,0.398555,0.375797,0.224983
2.52281e+06,0.349029,0.351646,0.298681
2.5358e+06,0.24006,0.474467,0.284833
2.5488e+06,0.345146,0.426657,0.227575
2.5618e+06,0.229933,0.501476,0.26798
2.5748e+06,0.0863024,0.347779,0.565312
2.5878e+06,0.0872327,0.361009,0.551174
2.6008e+06,0.138301,0.537046,0.324068
2.6138e+06,0.26154,0.398581,0.33931
2.6268e+06,0.318611,0.260221,0.420616
2.6398e+06,0.127818,0.540822,0.33082
2.6528e+06,0.371698,0.200546,0.427244
2.6658e+06,0.224762,0.489995,0.28472
2.67879e+06,0.144222,0.306184,0.549096
2.69179e+06,0.243437,0.461959,0.294114
2.70479e+06,0.0668522,0.347177,0.585474
2.71779e+06,0.303772,0.236445,0.459307
2.73079e+06,0.2811,0.308525,0.409902
2.74379e+06,0.322475,0.280651,0.396417
2.75679e+06,0.14198,0.573114,0.284455
2.76979e+06,0.329478,0.217047,0.453027
2.78279e+06,0.54996,0.272875,0.17672
2.79578e+06,0.275147,0.423095,0.301337
2.80878e+06,0.242631,0.324048,0.432903
2.82178e+06,0.302866,0.220417,0.476294
2.83478e+06,0.21667,0.383643,0.399276
2.84778e+06,0.466489,0.330026,0.20307
2.86078e+06,0.317864,0.441147,0.240599
2.87378e+06,0.157732,0.54246,0.29942
2.88678e+06,0.41766,0.141558,0.4404
2.89978e+06,0.127549,0.320185,0.551895
2.91278e+06,0.360356,0.399397,0.239883
2.92578e+06,0.280539,0.437376,0.281729
2.93877e+06,0.21961,0.418531,0.361506
2.95177e+06,0.385626,0.283997,0.330021
2.96477e+06,0.200463,0.317864,0.48133
2.97777e+06,0.225658,0.311386,0.462608
2.99077e+06,0.0675244,0.475006,0.457136
3.00377e+06,0.364633,0.251182,0.38386
3.01677e+06,0.429881,0.3644,0.205396
3.02977e+06,0.316228,0.379374,0.304082
3.04277e+06,0.374279,0.349587,0.275818
3.05576e+06,0.166237,0.548026,0.285441
3.06876e+06,0.423705,0.319365,0.256637
3.08176e+06,0.323389,0.300118,0.376204
3.09476e+06,0.189099,0.429229,0.381386
3.10776e+06,0.329042,0.405461,0.265212
3.12076e+06,0.330946,0.344644,0.324129
3.13376e+06,0.322371,0.423026,0.254334
3.14676e+06,0.387423,0.187904,0.424408
3.15976e+06,0.226747,0.498255,0.27473
3.17276e+06,0.250571,0.488702,0.260469
3.18576e+06,0.431699,0.315975,0.252069
3.19875e+06,0.17375,0.323635,0.50236
3.21175e+06,0.212986,0.266328,0.520439
3.22475e+06,0.564628,0.164232,0.270892
3.23775e+06,0.156504,0.410856,0.432399
3.25075e+06,0.352795,0.192964,0.454003
3.26375e+06,0.471944,0.310134,0.217689
3.27675e+06,0.19639,0.49257,0.310812
3.28975e+06,0.225763,0.273292,0.500721
3.30275e+06,0.286116,0.240254,0.473409
3.31574e+06,0.321691,0.301228,0.376863
3.32874e+06,0.361467,0.213523,0.424792
3.34174e+06,0.281994,0.384281,0.333512
3.35474e+06,0.282105,0.389041,0.328647
3.36774e+06,0.394731,0.275982,0.329084
3.38074e+06,0.495378,0.177694,0.326728
3.39374e+06,0.314329,0.271532,0.413937
3.40674e+06,0.220171,0.43573,0.343901
3.41974e+06,0.400963,0.31937,0.27947
3.43274e+06,0.307868,0.31807,0.373873
3.44574e+06,0.283654,0.286788,0.429372
3.45873e+06,0.314605,0.444927,0.240281
3.47173e+06,0.292451,0.358078,0.349289
3.48473e+06,0.124613,0.561193,0.314014
3.49773e+06,0.282602,0.477632,0.239586
3.51073e+06,0.400875,0.149025,0.449924
3.52373e+06,0.247626,0.33135,0.420851
3.53673e+06,0.158303,0.385567,0.455962
3.54973e+06,0.128993,0.308823,0.562016
3.56273e+06,0.261502,0.414161,0.324173
3.57572e+06,0.313189,0.35471,0.331935
3.58872e+06,0.287817,0.253753,0.458271
3.60172e+06,0.421063,0.369539,0.20924
3.61472e+06,0.217013,0.334527,0.448304
3.62772e+06,0.275938,0.2177,0.50621
3.64072e+06,0.241312,0.263713,0.494824
3.65372e+06,0.275214,0.448934,0.275702
3.66672e+06,0.354637,0.170923,0.474292
3.67972e+06,0.236596,0.236469,0.52679
3.69272e+06,0.277849,0.383674,0.338328
3.70572e+06,0.23984,0.256582,0.503434
3.71871e+06,0.430655,0.334718,0.234488
